serial_number,order_id,customer_id,customer_name,Gender,email,phone_number,address,product_id,product_name,product_category,supplier_id,supplier_name,supplier_phone,supplier_email,inventory_id,location,stock_quantity,quantity,unit_price,order_date,order_status,remaining_stock
11,7,288,Lisa Walton,Male,devinlopez@turner.com,(262)446-7046x2268,"51602 Anderson Parkways Suite 707, Hendersonton, NE 34402",265,Thing Single,Home,30,"Nelson, Morton and Medina",769.453.1473x7996,anthony52@lewis-salinas.com,265,Store 2,363,1,362.52,2025-06-14,Shipped,363
12,7,288,Lisa Walton,Male,devinlopez@turner.com,(262)446-7046x2268,"51602 Anderson Parkways Suite 707, Hendersonton, NE 34402",29,Personal Boy,Sports,37,George Group,001-594-013-9904x9027,lmoon@graham.info,29,Warehouse B,7,1,110.25,2025-06-14,Shipped,7
13,7,288,Lisa Walton,Male,devinlopez@turner.com,(262)446-7046x2268,"51602 Anderson Parkways Suite 707, Hendersonton, NE 34402",34,When Trial,Beauty,28,"Gould, Marshall and Scott",(299)124-1904x966,charlesvaughn@sanchez.org,34,Warehouse A,332,4,193.4,2025-06-14,Shipped,332
14,8,134,William Franco,Female,johnwilliams@andrews-alexander.com,(380)552-5782,"67275 Adam Streets, Deborahport, LA 99350",207,Few Ball,Clothing,41,Campbell LLC,001-972-787-5588,ugibson@pollard.org,207,Store 1,495,2,55.44,2025-11-11,Delivered,495
15,8,134,William Franco,Female,johnwilliams@andrews-alexander.com,(380)552-5782,"67275 Adam Streets, Deborahport, LA 99350",269,However Class,Toys,11,House and Sons,(677)360-2606,sara74@horton-cross.net,269,Store 2,87,1,299.55,2025-11-11,Delivered,87
16,8,134,William Franco,Female,johnwilliams@andrews-alexander.com,(380)552-5782,"67275 Adam Streets, Deborahport, LA 99350",89,Difference Clear,Home,33,Ward LLC,8240084271,andrewstaylor@peterson-sheppard.com,89,Warehouse A,462,3,426.41,2025-11-11,Delivered,462
17,9,314,Kerry Williams,Female,heatherosborn@gmail.com,(212)932-8963x406,"7524 Charles Station Suite 399, North Karinaberg, NJ 21505",103,Really Themselves,Toys,35,Carroll-Brown,001-133-412-3281x2067,ocarter@mann-warner.info,103,Warehouse A,239,2,307.78,2025-07-27,Delivered,239
18,9,314,Kerry Williams,Female,heatherosborn@gmail.com,(212)932-8963x406,"7524 Charles Station Suite 399, North Karinaberg, NJ 21505",128,Recently Language,Grocery,3,"Lee, Jones and Stanley",001-413-164-7525x53419,amandasanchez@gray-mayo.net,128,Store 2,189,6,115.1,2025-07-27,Delivered,189
19,9,314,Kerry Williams,Female,heatherosborn@gmail.com,(212)932-8963x406,"7524 Charles Station Suite 399, North Karinaberg, NJ 21505",234,Radio Good,Sports,48,Davis-Foster,817-549-6513x709,rose31@colon.biz,234,Warehouse B,79,1,179.15,2025-07-27,Delivered,79
20,9,314,Kerry Williams,Female,heatherosborn@gmail.com,(212)932-8963x406,"7524 Charles Station Suite 399, North Karinaberg, NJ 21505",185,Play Claim,Sports,25,"Lewis, Perry and Rivera",603.669.0967x054,acastaneda@adkins.com,185,Warehouse B,436,1,336.09,2025-07-27,Delivered,436
21,10,252,Allison Wang,Male,christinaturner@carpenter.com,+1-894-062-6078x701,"9149 Vaughn Way, North Joyhaven, VT 07450",238,Entire Shake,Garden,49,Taylor Inc,711-382-6758x6926,basschristina@johnson-wood.info,238,Store 2,338,2,94.82,2025-07-05,Shipped,338
22,11,38,Greg Martinez,Female,timperez@gmail.com,001-115-542-6221x8909,"3269 Heath Corners Apt. 219, Bellchester, WY 18828",64,Inside Just,Sports,3,"Lee, Jones and Stanley",001-413-164-7525x53419,amandasanchez@gray-mayo.net,64,Store 1,461,2,40.07,2025-09-07,Shipped,461
23,11,38,Greg Martinez,Female,timperez@gmail.com,001-115-542-6221x8909,"3269 Heath Corners Apt. 219, Bellchester, WY 18828",124,Coach Somebody,Beauty,12,"Higgins, Moore and Phillips",9805009788,brianromero@jones.com,124,Store 2,155,1,18.13,2025-09-07,Shipped,155
24,12,366,Ann Moon,Female,wrightalicia@chavez-carter.biz,236-428-1319x092,"2303 Carlos Courts Suite 281, Transtad, HI 20518",229,Cold Himself,Grocery,42,Hall-Rowe,5766270289,molly71@lozano.com,229,Store 1,232,3,226.85,2025-09-05,Cancelled,232
25,12,366,Ann Moon,Female,wrightalicia@chavez-carter.biz,236-428-1319x092,"2303 Carlos Courts Suite 281, Transtad, HI 20518",243,Record Chance,Garden,35,Carroll-Brown,001-133-412-3281x2067,ocarter@mann-warner.info,243,Store 1,56,4,147.82,2025-09-05,Cancelled,56
26,13,350,Stephen Neal,Female,andrew97@gmail.com,001-231-660-0767x6209,"PSC 1447, Box 3404, APO AE 31279",133,Bring Federal,Beauty,33,Ward LLC,8240084271,andrewstaylor@peterson-sheppard.com,133,Store 2,315,1,341.36,2025-08-04,Delivered,315
27,14,364,Aaron Lambert,Female,ogriffin@gmail.com,677-269-6084,"8550 Romero Loaf Suite 935, Lake Chris, UT 90059",198,City Less,Garden,40,Murray Inc,+1-274-846-7737x8263,michellehill@morgan-french.com,198,Store 2,47,3,123.08,2025-05-31,Delivered,47
28,15,149,Casey Phelps,Female,brownpeggy@yahoo.com,+1-416-516-2319x818,"1391 Murphy Prairie Suite 363, North Gregory, NV 54027",293,Two Hot,Home,32,"Cooper, Barajas and Pierce",(744)431-3518x233,lhill@carlson.com,293,Store 2,77,1,19.29,2025-07-30,Delivered,77
29,16,365,Richard Clark,Female,richard34@gmail.com,(970)931-7069x5560,"1645 Joseph Green Suite 223, Port Barry, MN 06789",116,Kind Long,Garden,45,Estrada-Nolan,482.175.9464x743,gcastaneda@james.org,116,Store 1,317,4,275.07,2025-11-10,Delivered,317
30,16,365,Richard Clark,Female,richard34@gmail.com,(970)931-7069x5560,"1645 Joseph Green Suite 223, Port Barry, MN 06789",138,Indicate Place,Beauty,21,"Martinez, Fisher and Bentley",+1-299-468-0443x69957,nramos@kennedy.com,138,Store 1,437,4,289.82,2025-11-10,Delivered,437
31,16,365,Richard Clark,Female,richard34@gmail.com,(970)931-7069x5560,"1645 Joseph Green Suite 223, Port Barry, MN 06789",263,Story Blood,Toys,31,Beard-Haynes,808-313-6783x777,davisjeffrey@sanchez.net,263,Store 2,294,2,21.16,2025-11-10,Delivered,294
32,16,365,Richard Clark,Female,richard34@gmail.com,(970)931-7069x5560,"1645 Joseph Green Suite 223, Port Barry, MN 06789",5,Despite Peace,Electronics,3,"Lee, Jones and Stanley",001-413-164-7525x53419,amandasanchez@gray-mayo.net,5,Warehouse A,442,1,48.81,2025-11-10,Delivered,442
33,17,186,Melissa Clark,Female,brooksbarbara@gmail.com,075-536-6684x5909,"59999 Baird Ford, Brownfurt, NJ 14740",89,Difference Clear,Home,33,Ward LLC,8240084271,andrewstaylor@peterson-sheppard.com,89,Warehouse A,462,1,426.41,2025-09-22,Shipped,462
34,17,186,Melissa Clark,Female,brooksbarbara@gmail.com,075-536-6684x5909,"59999 Baird Ford, Brownfurt, NJ 14740",115,Dinner However,Home,8,"Collins, Carney and Santos",871.331.5098x393,jonescrystal@jones.com,115,Warehouse A,241,2,496.44,2025-09-22,Shipped,241
35,17,186,Melissa Clark,Female,brooksbarbara@gmail.com,075-536-6684x5909,"59999 Baird Ford, Brownfurt, NJ 14740",157,Parent Laugh,Clothing,3,"Lee, Jones and Stanley",001-413-164-7525x53419,amandasanchez@gray-mayo.net,157,Warehouse B,408,2,516.65,2025-09-22,Shipped,408
36,17,186,Melissa Clark,Female,brooksbarbara@gmail.com,075-536-6684x5909,"59999 Baird Ford, Brownfurt, NJ 14740",217,Reach Cup,Grocery,35,Carroll-Brown,001-133-412-3281x2067,ocarter@mann-warner.info,217,Warehouse A,432,2,223.35,2025-09-22,Shipped,432
37,18,103,Jamie Edwards,Male,hayesmargaret@rich.net,+1-608-680-3476,"2649 Hannah Divide Suite 718, East Kimberlyside, MO 54707",236,Open Resource,Home,15,"Warner, Carr and Archer",+1-808-412-4118x2449,jenniferharris@farrell.com,236,Warehouse A,345,1,380.14,2025-06-19,Shipped,345
38,18,103,Jamie Edwards,Male,hayesmargaret@rich.net,+1-608-680-3476,"2649 Hannah Divide Suite 718, East Kimberlyside, MO 54707",112,Change Sit,Garden,22,"Miller, Robertson and Schultz",134-332-0037x91769,jennifercruz@sanchez-douglas.com,112,Store 2,299,5,304.35,2025-06-19,Shipped,299
39,18,103,Jamie Edwards,Male,hayesmargaret@rich.net,+1-608-680-3476,"2649 Hannah Divide Suite 718, East Kimberlyside, MO 54707",155,After Machine,Clothing,49,Taylor Inc,711-382-6758x6926,basschristina@johnson-wood.info,155,Warehouse B,141,4,321.13,2025-06-19,Shipped,141
40,18,103,Jamie Edwards,Male,hayesmargaret@rich.net,+1-608-680-3476,"2649 Hannah Divide Suite 718, East Kimberlyside, MO 54707",300,Western Must,Beauty,18,Pham-Shields,421.607.3375,lori33@keller.com,300,Warehouse A,231,1,418.19,2025-06-19,Shipped,231
41,19,253,Kelli Hart,Other,jeffreylowe@gmail.com,407-931-1029x1813,"87601 Sullivan Ferry Apt. 849, Villarrealville, FL 83888",192,Particularly List,Beauty,22,"Miller, Robertson and Schultz",134-332-0037x91769,jennifercruz@sanchez-douglas.com,192,Store 2,160,1,149.88,2025-05-21,Delivered,160
42,20,294,Becky Foster,Male,duncangregory@wang.biz,+1-653-694-5515,"67747 Sandra Fall Suite 408, Kathrynburgh, CT 50747",56,Building Tonight,Beauty,39,Brown-Stone,+1-770-348-2477x109,jennifercollins@tran.com,56,Store 2,40,2,458.24,2025-08-17,Delivered,40
43,21,283,Teresa Collins,Other,petersonashley@hotmail.com,971-112-1259,"03571 Kyle Springs, Lake Katelyn, ME 07491",142,Certain South,Clothing,35,Carroll-Brown,001-133-412-3281x2067,ocarter@mann-warner.info,142,Warehouse B,141,2,194.55,2025-06-17,Delivered,141
44,22,45,Edwin Wilkins,Female,cranemelissa@adkins.com,003-236-5199,"13721 Martinez Mountain, East Sandrachester, VA 52274",134,Resource Resource,Sports,35,Carroll-Brown,001-133-412-3281x2067,ocarter@mann-warner.info,134,Store 1,480,1,493.42,2025-05-31,Shipped,480
45,22,45,Edwin Wilkins,Female,cranemelissa@adkins.com,003-236-5199,"13721 Martinez Mountain, East Sandrachester, VA 52274",97,Through Option,Grocery,20,Lam-Lee,6088356159,elizabeth14@parker.com,97,Store 1,271,2,161.51,2025-05-31,Shipped,271
46,22,45,Edwin Wilkins,Female,cranemelissa@adkins.com,003-236-5199,"13721 Martinez Mountain, East Sandrachester, VA 52274",265,Thing Single,Home,30,"Nelson, Morton and Medina",769.453.1473x7996,anthony52@lewis-salinas.com,265,Store 2,363,2,345.26,2025-05-31,Shipped,363
47,22,45,Edwin Wilkins,Female,cranemelissa@adkins.com,003-236-5199,"13721 Martinez Mountain, East Sandrachester, VA 52274",30,Live Most,Beauty,32,"Cooper, Barajas and Pierce",(744)431-3518x233,lhill@carlson.com,30,Warehouse B,209,3,420.77,2025-05-31,Shipped,209
48,23,368,Krista Barber,Other,kristin96@yahoo.com,628.720.3195x41966,"57303 Hampton Terrace Apt. 792, Randyberg, IN 58045",72,Bed Better,Sports,47,"Anderson, Browning and Murphy",(232)858-8424x74517,taylortammy@ramsey.net,72,Store 2,101,1,401.29,2025-09-14,Delivered,101
49,23,368,Krista Barber,Other,kristin96@yahoo.com,628.720.3195x41966,"57303 Hampton Terrace Apt. 792, Randyberg, IN 58045",255,Race Religious,Grocery,25,"Lewis, Perry and Rivera",603.669.0967x054,acastaneda@adkins.com,255,Warehouse B,89,1,477.45,2025-09-14,Delivered,89
50,24,394,Robert Johnson,Female,katherinemorton@hotmail.com,137-178-5090,"6184 Green Corner Apt. 998, Mitchellhaven, WI 10541",215,Listen When,Garden,28,"Gould, Marshall and Scott",(299)124-1904x966,charlesvaughn@sanchez.org,215,Warehouse B,293,2,349.82,2025-08-27,Delivered,293
51,25,38,Greg Martinez,Female,timperez@gmail.com,001-115-542-6221x8909,"3269 Heath Corners Apt. 219, Bellchester, WY 18828",19,Strategy Story,Home,15,"Warner, Carr and Archer",+1-808-412-4118x2449,jenniferharris@farrell.com,19,Store 2,119,2,193.16,2025-06-16,Cancelled,119
52,26,329,Brian Perez,Female,christophersteele@gmail.com,695.727.9083,"90254 Michael Flats Apt. 662, Williambury, SC 25973",114,Skin Nice,Beauty,36,Mcdaniel LLC,+1-936-183-2421x0249,scott74@powell.info,114,Warehouse B,55,1,268.52,2025-06-02,Delivered,55
53,27,349,Danielle Jensen,Other,harveymercedes@conrad-turner.biz,001-921-053-3651x4604,"2473 Samantha Summit, South Gregville, VA 31277",184,Decade Consumer,Beauty,18,Pham-Shields,421.607.3375,lori33@keller.com,184,Warehouse A,50,3,257.66,2025-09-24,Shipped,50
54,27,349,Danielle Jensen,Other,harveymercedes@conrad-turner.biz,001-921-053-3651x4604,"2473 Samantha Summit, South Gregville, VA 31277",88,Participant Movement,Garden,33,Ward LLC,8240084271,andrewstaylor@peterson-sheppard.com,88,Warehouse A,321,2,33.16,2025-09-24,Shipped,321
55,27,349,Danielle Jensen,Other,harveymercedes@conrad-turner.biz,001-921-053-3651x4604,"2473 Samantha Summit, South Gregville, VA 31277",151,Sure Health,Sports,28,"Gould, Marshall and Scott",(299)124-1904x966,charlesvaughn@sanchez.org,151,Warehouse B,300,3,235.17,2025-09-24,Shipped,300
56,27,349,Danielle Jensen,Other,harveymercedes@conrad-turner.biz,001-921-053-3651x4604,"2473 Samantha Summit, South Gregville, VA 31277",242,Beat Pass,Toys,12,"Higgins, Moore and Phillips",9805009788,brianromero@jones.com,242,Store 2,176,2,12.0,2025-09-24,Shipped,176
57,28,400,Christina Robinson,Male,yvonne06@gmail.com,001-119-875-6178x6880,"00915 Rodriguez Crossroad, East Haleymouth, SC 92623",287,Morning News,Beauty,50,Sampson-Foley,585-064-3171,darleneharper@williams.com,287,Warehouse B,308,1,433.13,2025-10-03,Delivered,308
58,28,400,Christina Robinson,Male,yvonne06@gmail.com,001-119-875-6178x6880,"00915 Rodriguez Crossroad, East Haleymouth, SC 92623",172,Force Skill,Grocery,18,Pham-Shields,421.607.3375,lori33@keller.com,172,Store 1,372,2,43.35,2025-10-03,Delivered,372
59,28,400,Christina Robinson,Male,yvonne06@gmail.com,001-119-875-6178x6880,"00915 Rodriguez Crossroad, East Haleymouth, SC 92623",114,Skin Nice,Beauty,36,Mcdaniel LLC,+1-936-183-2421x0249,scott74@powell.info,114,Warehouse B,55,1,296.78,2025-10-03,Delivered,55
60,29,94,Morgan Davenport,Other,susandavis@hall.com,001-288-619-5761,"685 Amanda Rapid, Mahoneymouth, MD 49223",158,Interview Security,Home,40,Murray Inc,+1-274-846-7737x8263,michellehill@morgan-french.com,158,Warehouse A,56,1,218.91,2025-06-17,Delivered,56
61,30,29,Rebecca Ortiz,Other,cynthiaallen@hotmail.com,(661)797-9688,"PSC 6805, Box 8911, APO AE 86694",170,Need Bar,Clothing,49,Taylor Inc,711-382-6758x6926,basschristina@johnson-wood.info,170,Warehouse B,231,3,441.77,2025-06-15,Delivered,231
62,30,29,Rebecca Ortiz,Other,cynthiaallen@hotmail.com,(661)797-9688,"PSC 6805, Box 8911, APO AE 86694",134,Resource Resource,Sports,35,Carroll-Brown,001-133-412-3281x2067,ocarter@mann-warner.info,134,Store 1,480,1,493.42,2025-06-15,Delivered,480
63,30,29,Rebecca Ortiz,Other,cynthiaallen@hotmail.com,(661)797-9688,"PSC 6805, Box 8911, APO AE 86694",238,Entire Shake,Garden,49,Taylor Inc,711-382-6758x6926,basschristina@johnson-wood.info,238,Store 2,338,4,99.81,2025-06-15,Delivered,338
64,31,156,Michael Graham,Other,alexandervanessa@hotmail.com,771.215.1342x2849,"089 Robert Club, Port Tyler, MA 03903",299,College Explain,Toys,46,Haney-Phillips,+1-640-909-7439x53394,courtneyberger@williams.com,299,Store 2,158,2,256.89,2025-06-26,Shipped,158
65,31,156,Michael Graham,Other,alexandervanessa@hotmail.com,771.215.1342x2849,"089 Robert Club, Port Tyler, MA 03903",242,Beat Pass,Toys,12,"Higgins, Moore and Phillips",9805009788,brianromero@jones.com,242,Store 2,176,1,12.0,2025-06-26,Shipped,176
66,32,364,Aaron Lambert,Female,ogriffin@gmail.com,677-269-6084,"8550 Romero Loaf Suite 935, Lake Chris, UT 90059",196,Future Treat,Electronics,5,"Baker, Richards and Hurst",(532)871-0122x6916,dcarlson@king.com,196,Warehouse A,34,4,397.27,2025-07-11,Shipped,34
67,32,364,Aaron Lambert,Female,ogriffin@gmail.com,677-269-6084,"8550 Romero Loaf Suite 935, Lake Chris, UT 90059",212,Partner Once,Sports,42,Hall-Rowe,5766270289,molly71@lozano.com,212,Warehouse A,114,5,11.26,2025-07-11,Shipped,114
68,33,266,Brittany Farmer,Other,benjaminvictoria@gordon.biz,+1-180-978-8754,"53537 Goodman Crescent Apt. 765, West Annland, MN 86134",78,Or Girl,Electronics,35,Carroll-Brown,001-133-412-3281x2067,ocarter@mann-warner.info,78,Store 2,11,2,484.65,2025-07-26,Delivered,11
69,33,266,Brittany Farmer,Other,benjaminvictoria@gordon.biz,+1-180-978-8754,"53537 Goodman Crescent Apt. 765, West Annland, MN 86134",103,Really Themselves,Toys,35,Carroll-Brown,001-133-412-3281x2067,ocarter@mann-warner.info,103,Warehouse A,239,1,323.17,2025-07-26,Delivered,239
70,33,266,Brittany Farmer,Other,benjaminvictoria@gordon.biz,+1-180-978-8754,"53537 Goodman Crescent Apt. 765, West Annland, MN 86134",210,Phone Movement,Electronics,37,George Group,001-594-013-9904x9027,lmoon@graham.info,210,Warehouse B,295,1,168.03,2025-07-26,Delivered,295
71,33,266,Brittany Farmer,Other,benjaminvictoria@gordon.biz,+1-180-978-8754,"53537 Goodman Crescent Apt. 765, West Annland, MN 86134",74,Size Single,Grocery,35,Carroll-Brown,001-133-412-3281x2067,ocarter@mann-warner.info,74,Warehouse B,54,1,78.11,2025-07-26,Delivered,54
72,34,129,Susan Lane,Male,jenkinsaimee@vargas.com,6335693929,"PSC 6007, Box 8068, APO AA 63319",93,Hold Building,Home,3,"Lee, Jones and Stanley",001-413-164-7525x53419,amandasanchez@gray-mayo.net,93,Store 1,46,1,212.52,2025-07-04,Delivered,46
73,34,129,Susan Lane,Male,jenkinsaimee@vargas.com,6335693929,"PSC 6007, Box 8068, APO AA 63319",250,Tax Care,Grocery,26,Robinson-Graham,6562729806,millerroy@white-green.com,250,Warehouse B,392,2,43.75,2025-07-04,Delivered,392
74,34,129,Susan Lane,Male,jenkinsaimee@vargas.com,6335693929,"PSC 6007, Box 8068, APO AA 63319",91,Door Throw,Beauty,16,Walters LLC,0524278680,jonesnicole@gardner.org,91,Store 1,17,2,67.56,2025-07-04,Delivered,17
75,34,129,Susan Lane,Male,jenkinsaimee@vargas.com,6335693929,"PSC 6007, Box 8068, APO AA 63319",30,Live Most,Beauty,32,"Cooper, Barajas and Pierce",(744)431-3518x233,lhill@carlson.com,30,Warehouse B,209,5,442.92,2025-07-04,Delivered,209
76,35,283,Teresa Collins,Other,petersonashley@hotmail.com,971-112-1259,"03571 Kyle Springs, Lake Katelyn, ME 07491",108,Group Have,Clothing,39,Brown-Stone,+1-770-348-2477x109,jennifercollins@tran.com,108,Store 1,7,1,360.22,2025-07-24,Shipped,7
77,35,283,Teresa Collins,Other,petersonashley@hotmail.com,971-112-1259,"03571 Kyle Springs, Lake Katelyn, ME 07491",296,Name Today,Clothing,6,"Dyer, Potter and Mack",146-270-4828x14893,nathanielmartin@sellers.com,296,Store 1,407,2,496.17,2025-07-24,Shipped,407
78,36,156,Michael Graham,Other,alexandervanessa@hotmail.com,771.215.1342x2849,"089 Robert Club, Port Tyler, MA 03903",46,Attorney Card,Toys,7,Koch-Decker,303-911-7182x2782,allison96@hickman.com,46,Store 1,355,4,421.63,2025-10-19,Delivered,355
79,36,156,Michael Graham,Other,alexandervanessa@hotmail.com,771.215.1342x2849,"089 Robert Club, Port Tyler, MA 03903",223,Send Become,Sports,14,Stewart-Walton,079-911-8384,sarahibarra@wood.info,223,Warehouse B,92,1,379.93,2025-10-19,Delivered,92
80,37,258,Alison Nicholson,Male,peter51@gmail.com,189-389-8469x0819,"005 Green Isle Apt. 238, Sandraton, NM 10057",245,Say Recognize,Grocery,9,Palmer LLC,+1-738-299-7376x31165,ujenkins@nunez.com,245,Store 1,269,2,52.99,2025-10-26,Shipped,269
81,37,258,Alison Nicholson,Male,peter51@gmail.com,189-389-8469x0819,"005 Green Isle Apt. 238, Sandraton, NM 10057",3,Authority Themselves,Home,48,Davis-Foster,817-549-6513x709,rose31@colon.biz,3,Warehouse B,196,1,339.97,2025-10-26,Shipped,196
82,38,298,Karen Gonzales,Female,julianeal@gmail.com,+1-464-303-9429x045,"9252 Mills Lane Suite 287, South Penny, TN 08988",192,Particularly List,Beauty,22,"Miller, Robertson and Schultz",134-332-0037x91769,jennifercruz@sanchez-douglas.com,192,Store 2,160,4,142.74,2025-06-23,Shipped,160
83,38,298,Karen Gonzales,Female,julianeal@gmail.com,+1-464-303-9429x045,"9252 Mills Lane Suite 287, South Penny, TN 08988",165,Road Wide,Home,16,Walters LLC,0524278680,jonesnicole@gardner.org,165,Warehouse A,269,5,230.95,2025-06-23,Shipped,269
84,39,320,Mary Hill,Male,marthalucero@gmail.com,732.043.0977,"2896 Francis Squares, Lindaview, MN 48278",3,Authority Themselves,Home,48,Davis-Foster,817-549-6513x709,rose31@colon.biz,3,Warehouse B,196,2,339.97,2025-10-16,Shipped,196
85,40,289,Audrey Roman,Male,kimberly58@yahoo.com,268-612-0594,"0740 Miranda Mount Suite 095, Ronaldport, AK 71640",177,Daughter Western,Sports,27,Gibson LLC,001-646-417-0805x31003,maryhowell@martinez.com,177,Store 2,251,1,287.27,2025-05-25,Delivered,251
86,41,15,Crystal Rodgers,Male,robertmonroe@osborn.info,(400)499-1547,"Unit 8872 Box 8743, DPO AE 43844",197,Product Four,Clothing,16,Walters LLC,0524278680,jonesnicole@gardner.org,197,Warehouse A,425,3,441.44,2025-06-04,Pending,425
87,42,329,Brian Perez,Female,christophersteele@gmail.com,695.727.9083,"90254 Michael Flats Apt. 662, Williambury, SC 25973",24,Know Never,Toys,25,"Lewis, Perry and Rivera",603.669.0967x054,acastaneda@adkins.com,24,Warehouse A,253,2,519.55,2025-10-09,Shipped,253
88,43,108,Robert Lewis,Male,jonathan14@hunter-nguyen.com,556-990-2355,"PSC 7702, Box 7278, APO AA 61117",234,Radio Good,Sports,48,Davis-Foster,817-549-6513x709,rose31@colon.biz,234,Warehouse B,79,5,188.11,2025-10-08,Delivered,79
89,43,108,Robert Lewis,Male,jonathan14@hunter-nguyen.com,556-990-2355,"PSC 7702, Box 7278, APO AA 61117",223,Send Become,Sports,14,Stewart-Walton,079-911-8384,sarahibarra@wood.info,223,Warehouse B,92,5,399.93,2025-10-08,Delivered,92
90,43,108,Robert Lewis,Male,jonathan14@hunter-nguyen.com,556-990-2355,"PSC 7702, Box 7278, APO AA 61117",176,Nice Mrs,Clothing,46,Haney-Phillips,+1-640-909-7439x53394,courtneyberger@williams.com,176,Warehouse A,218,5,34.95,2025-10-08,Delivered,218
91,43,108,Robert Lewis,Male,jonathan14@hunter-nguyen.com,556-990-2355,"PSC 7702, Box 7278, APO AA 61117",184,Decade Consumer,Beauty,18,Pham-Shields,421.607.3375,lori33@keller.com,184,Warehouse A,50,1,245.39,2025-10-08,Delivered,50
92,44,328,Sharon Sims,Female,robert06@bennett-kirby.com,001-749-060-7231x11271,"46484 Foley Green Apt. 163, New Meghanborough, NC 05179",207,Few Ball,Clothing,41,Campbell LLC,001-972-787-5588,ugibson@pollard.org,207,Store 1,495,1,55.44,2025-05-22,Delivered,495
93,45,322,Amy Bailey,Female,flemingcameron@hill.com,001-976-263-7484x539,"89509 Jennifer Knolls Apt. 191, Crossborough, PA 24007",68,House Claim,Beauty,31,Beard-Haynes,808-313-6783x777,davisjeffrey@sanchez.net,68,Store 1,300,1,99.25,2025-10-01,Shipped,300
94,46,155,William Lambert,Female,carpenterjorge@vasquez.com,862-415-0274x56449,"562 Doyle Overpass Apt. 870, East Brian, AZ 62137",259,Space Mention,Clothing,14,Stewart-Walton,079-911-8384,sarahibarra@wood.info,259,Warehouse A,441,2,136.0,2025-09-15,Shipped,441
95,46,155,William Lambert,Female,carpenterjorge@vasquez.com,862-415-0274x56449,"562 Doyle Overpass Apt. 870, East Brian, AZ 62137",64,Inside Just,Sports,3,"Lee, Jones and Stanley",001-413-164-7525x53419,amandasanchez@gray-mayo.net,64,Store 1,461,1,42.07,2025-09-15,Shipped,461
